Wind,000905.SH,000905.SH,000905.SH,000905.SH,000905.SH
,中证500,中证500,中证500,中证500,中证500
日期,开盘价,最高价,最低价,收盘价,成交量
38820,1097.292,1103.662,1062.472,1062.69,2261439144
38821,1058.708,1088.266,1053.885,1088.183,1643491447
38824,1086.243,1097.499,1080.617,1093.513,1913733660
38825,1094.358,1100.883,1087.01,1097.73,1717572867
38826,1098.582,1100.661,1082.18,1100.661,1856178229
38827,1102.274,1102.274,1084.202,1091.851,1977024852
38828,1091.657,1106.54,1081.189,1102.547,2048506016
38831,1106.116,1107.593,1083.094,1094.375,2277834184
38832,1091.835,1109.305,1076.905,1103.059,2074415641
38833,1103.746,1125.866,1102.833,1116.811,2260280999
38834,1119.67,1127.965,1110.688,1125.32,1857431351
38835,1117.511,1146.382,1098.773,1141.685,2053279754
38845,1148.084,1181.526,1148.084,1180.728,2244040231
38846,1188.797,1218.094,1182.951,1218.094,2980858218
38847,1227.286,1247.23,1214.734,1241.571,3120288528
38848,1247.122,1278.7,1237.721,1237.772,3658888380
38849,1239.755,1283.751,1237.633,1283.677,3296716375
38852,1303.378,1344.963,1291.372,1344.924,4066894169
38853,1347.186,1357.811,1291.441,1297.932,3938162048
38854,1302.61,1327.244,1289.15,1318.966,3213714158
38855,1311.427,1336.441,1294.906,1328.206,2851040211
38856,1332.16,1369.427,1327.193,1365.647,3078397575
38859,1370.503,1396.494,1364.448,1386.748,3321817465
38860,1388.028,1388.028,1325.991,1326.156,3140625207
38861,1333.308,1360.164,1279.954,1308.693,2660086684
38862,1304.081,1329.628,1298.732,1324.919,1966382467
38863,1330.227,1355.627,1329.138,1355.501,2093117262
38866,1362.843,1387.564,1352.976,1387.524,2342928601
38867,1391.621,1411.381,1380.2,1410.542,2494138877
38868,1408.911,1426.081,1392.152,1402.332,2759887682
38869,1402.335,1455.741,1401.838,1455.741,3306958568
38870,1462.614,1475.085,1440.273,1457.763,3832554248
38873,1461.023,1484.458,1443.31,1484.29,2941387422
38874,1482.804,1485.568,1464.101,1470.449,2532940176
38875,1470.257,1470.257,1370.386,1370.809,2793126267
38876,1357.299,1379.367,1326.784,1376.079,2467163299
38877,1371.402,1386.933,1345.598,1346.481,2322073936
38880,1339.537,1361.905,1329.202,1352.582,1467211556
38881,1350.736,1369.612,1342.474,1361.526,1455776769
38882,1351.335,1351.335,1328.867,1347.878,1398792227
38883,1346,1366.396,1344.783,1352.336,1382726739
38884,1362.058,1382.598,1360.422,1382.41,1594933191
38887,1367.057,1405.131,1359.747,1397.995,1717454331
38888,1397.155,1415.884,1391.362,1414.905,1793339461
38889,1414.942,1426.984,1399.688,1410.502,1824167897
38890,1409.148,1416.031,1399.278,1411.278,1606707375
38891,1408.418,1430.633,1401.503,1430.513,1688695628
38894,1433.242,1458.795,1433.242,1457.137,2045322219
38895,1460.897,1466.124,1447.677,1464.686,2030608262
38896,1463.235,1468.858,1454.757,1461.793,1776840085
38897,1465.855,1489.956,1465.855,1488.164,2438537312
38898,1495.506,1501.265,1476.222,1485.995,2463673450
38901,1489.459,1514.068,1483.948,1514.068,2534876523
38902,1516.703,1525.187,1496.628,1508.839,2785012612
38903,1508.358,1508.358,1475.018,1497.656,2157474894
38904,1498.042,1539.39,1497.21,1539.177,2542614011
38905,1544.973,1549.609,1534.186,1541.253,2502686310
38908,1542.904,1551.091,1530.534,1550.04,1980847923
38909,1551.642,1561.904,1543.712,1561.843,2080204399
38910,1564.449,1577.396,1560.068,1562.06,2527544430
38911,1558.426,1558.601,1459.671,1459.778,3494460658
38912,1442.328,1484.886,1435.749,1470.467,2119687786
38915,1467.262,1494.793,1460.731,1494.793,1773405870
38916,1494.964,1506.592,1481.072,1506.592,1791203895
38917,1503.677,1503.677,1460.054,1472.354,1901380938
38918,1470.534,1486.939,1462.412,1484.409,1624845474
38919,1483.038,1494.806,1482.921,1493.036,1589308027
38922,1464.274,1497.519,1453.089,1496.607,1630750525
38923,1498.225,1522.443,1498.225,1518.172,1783535009
38924,1521.893,1529.286,1512.013,1523.863,1739988884
38925,1523.152,1531.689,1492.673,1506.56,1979114306
38926,1504.583,1510.802,1472.63,1492.114,1860457554
38929,1487.78,1487.78,1424.521,1425.044,1797706241
38930,1422.271,1435.652,1403.403,1408.902,1431833084
38931,1409.634,1417.368,1378.599,1401.859,1307817818
38932,1402.93,1412.12,1387.043,1401.156,1117316284
38933,1401.619,1407.771,1353.179,1354.778,1325733569
38936,1349.239,1349.239,1321.1,1323.726,1243696737
38937,1322.996,1364.99,1322.996,1364.99,1237106400
38938,1365.158,1375.455,1355.542,1367.395,1192714264
38939,1367.323,1391.144,1367.302,1391.144,1245822236
38940,1391.472,1401.326,1382.052,1398.011,1229377699
38943,1397.921,1401.281,1352.809,1356.848,1297480140
38944,1355.879,1383.361,1346.163,1383.361,1011721744
38945,1383.828,1407.313,1378.921,1407.313,1380077105
38946,1406.444,1406.444,1381.136,1395.718,1225959128
38947,1392.156,1402.907,1383.705,1384.899,1009591070
